bedrooms,bathrooms,toilets,parking_space,title,town,state,price,listing_type
4,4,5,3,Semi Detached Duplex,Ajah,Lagos,43000000,rent
5,5,6,4,Detached Duplex,Maryland,Lagos,80000000,rent
5,5,6,5,Detached Duplex,Ajah,Lagos,75000000,rent
4,5,5,4,Detached Duplex,Lekki,Lagos,72000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,250000000,sale
5,6,6,2,Detached Duplex,Ibeju Lekki,Lagos,65000000,rent
4,6,5,1,Terraced Duplexes,Jahi,Abuja,65000000,rent
3,3,5,4,Detached Bungalow,Ibeju Lekki,Lagos,22000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,120000000,rent
4,5,5,4,Terraced Duplexes,Ikoyi,Lagos,190000000,sale
3,3,4,4,Detached Duplex,Ibeju Lekki,Lagos,18000000,rent
